No,Date,Epicenter,Magnitudo,Latitude,Longitude,Depth
1,03/05/2020,Sukabumi - Jawa Barat,3.3,-7.07,106.46,8
2,21/02/2020,Tasikmalaya - Jawa Barat,4.9,-8.17,107.5,11
3,16/02/2020,Karawang - Jawa Barat,3.5,-6.1,107.56,270
4,14/02/2020,Kediri - Jawa Timur,3.9,-7.71,111.98,7
5,13/02/2020,Jember - Jawa Timur,5,-11.39,113.27,10
6,02/10/2020,Pandeglang - Banten,4.8,-6.81,105.32,5
7,02/08/2020,Garut - Jawa Barat,3.3,-7.69,107.71,1
8,02/06/2020,Bangkalan - Madura,6.3,-6.43,113.05,636
9,02/05/2020,Sukabumi - Jawa Barat,4.2,-7.33,106.63,109
10,02/05/2020,Bandung - Jawa Barat,2.9,-7.13,107.52,12
11,20/01/2020,Wonosobo - Jawa Tengah,1.4,-7.25,109.91,5
12,20/01/2020,Bayah - Banten,3.7,-7.21,106.03,28
13,15/01/2020,Bogor - Jawa Barat,2.4,-6.71,106.56,20
14,01/11/2020,Pangandaran - Jawa Barat,4.5,-8.17,107.91,11
15,01/09/2020,Tasikmalaya - Jawa Barat,4.8,-8.1,107.95,11
16,01/06/2020,Garut - Jawa Barat,5.1,-8.15,107.34,10
17,01/05/2020,Malang - Jawa Timur,4.8,-8.73,112.5,10
18,26/12/2019,Sukabumi - Jawa Barat,5,-8.05,106.82,10
19,22/12/2019,Kuningan - Jawa Barat,3.1,-7.3,108.83,25
20,19/12/2019,Bandung - Jawa Barat,3,-7.27,107.6,10
21,16/12/2019,Sukabumi - Jawa Barat,4.8,-7.56,105.98,20
22,01/10/2019,Pangandaran - Jawa Barat,4.5,-8.32,108.54,63
23,01/10/2019,Bekasi - Jawa Barat,3.2,-6.54,107.08,4
24,12/09/2019,Gunung Kidul - Jawa Tengah,5,-9.03,110.15,10
25,30/11/2019,Pacitan - Jawa Timur,4.1,-8.76,111.25,40
26,28/12/2019,Pacitan - Jawa Timur,4.1,-8.84,111.47,25
27,23/11/2019,Pacitan - Jawa Timur,4.5,-8.98,110.73,10
28,11/12/2019,Pangandaran - Jawa Barat,3.4,-7.68,108.39,3
29,11/07/2019,Pacitan - Jawa Timur,3.1,-8.23,111.13,11
30,11/01/2019,Pangandaran - Jawa Barat,4.9,-8.16,107.89,31
31,31/10/2019,Pangandaran - Jawa Barat,4.8,-8.23,108.25,25
32,30/10/2019,Gunung Kidul - Jawa Tengah,3.8,-8.56,110.66,10
33,27/10/2019,Pacitan - Jawa Timur,4.8,-9.12,111.3,10
34,26/10/2019,Sukabumi - Jawa Barat,3.7,-6.93,106.61,4
35,24/10/2019,Pangandaran - Jawa Barat,4.1,-8.13,108.71,52
36,18/10/2019,Bogor - Jawa Barat,3.1,-6.75,106.49,2
37,14/10/2019,Cilacap - Jawa Tengah,5,-8.45,109.28,10
38,10/09/2019,Cilacap - Jawa Tengah,4.1,-8.52,108.99,16
39,10/07/2019,Tasikmalaya - Jawa Barat,4.8,-8.27,108.24,23
40,29/09/2019,Kuningan - Jawa Barat,2.9,-7.1,108.59,13
41,26/09/2019,Kendal - Jawa Tengah ,3.3,-7.4,110.09,13
42,19/09/2019,Tuban - Jawa Timur ,5.6,-6.4,111.84,656
43,19/09/2019,Tuban - Jawa Timur ,6,-6.43,111.82,648
44,15/09/2019,Malang - Jawa Timur,3.8,-8.78,112.54,10
45,09/11/2019,Jember - Jawa Timur,4.8,-9.34,113.4,10
46,30/08/2019,Cirebon - Jawa Barat,2.7,-6.75,108.62,10
47,25/08/2019,Cilacap - Jawa Tengah,4.7,-8.3,108.87,49
48,24/08/2019,Malang - Jawa Timur,4.3,-8.83,112.49,10
49,24/08/2019,Bogor - Jawa Barat,2.7,-6.78,106.53,12
50,23/08/2019,Bogor - Jawa Barat,3.2,-6.77,106.49,5
51,23/08/2019,Bogor - Jawa Barat,4,-6.7,106.51,5
52,21/08/2019,Sukabumi - Jawa Barat,3.3,-6.76,106.51,10
53,21/08/2019,Sukabumi - Jawa Barat,3.9,-6.77,106.52,9
54,19/08/2019,Sukabumi - Jawa Barat,2.5,-6.78,106.51,4
55,19/08/2019,Pangandaran - Jawa Barat,4.3,-8,108.09,78
56,19/08/2019,Sukabumi - Jawa Barat,3,-6.77,106.53,8
57,08/12/2019,Gunung Kidul - Jawa Tengah,3,-7.79,110.5,10
58,08/10/2019,Bantul - Jawa Tengah,5.1,-8.81,110.08,10
59,08/10/2019,Tasikmalaya - Jawa Barat,4,-8.23,108.18,22
60,08/02/2019,Pandeglang - Jawa Barat,7.4,-7.54,104.58,10
61,28/07/2019,Blitar - Jawa Timur,4.5,-8.93,111.9,10
62,27/07/2019,Pangandaran - Jawa Barat,4.9,-8.41,108.43,12
63,19/07/2019,Tasikmalaya - Jawa Barat,4.5,-8.13,107.92,22
64,29/06/2019,Cilacap - Jawa Tengah,5.3,-8.56,108.85,10
65,24/06/2019,Tasikmalaya - Jawa Barat,4.3,-8.16,107.9,19
66,21/06/2019,Pangandaran - Jawa Barat,5.2,-8.51,108.69,10
67,14/06/2019,Bandung - Jawa Barat,3.8,-7.9,107.22,29
